"#",Station,RSP/KL,RSP/L
1,Phuentsholing,55249.06,55.25
2,Rinchending,55329.52,55.33
3,Pasakha,55383.16,55.38
4,Chimakothi,56578.87,56.58
5,Chubachu,57047.57,57.05
6,Paro Shaba,57033.61,57.03
7,Haa,57729.24,57.73
8,Wangdue Zero Point,57344.47,57.34
9,Beychu,57567.97,57.57
10,Samtse Checkpost,54809.65,54.81
11,Sipsoo,56388.01,56.39
12,Pagli,54867.34,54.87
13,Gedu,56167.4,56.17
14,Mitsina,57255.07,57.26
15,Khuruthang,57324.4,57.32
16,Gasa,58522.43,58.52
17,Dorokha,56015.31,56.02
18,Langdru (Khasadrapchu),56895.59,56.9
