"#",Station,RSP/KL,RSP/L
1,Phuentsholing,55753.58,55.75
2,Rinchending,55834.04,55.83
3,Pasakha,55887.68,55.89
4,Chimakothi,57271.77,57.27
5,Chubachu,57727.95,57.73
6,Paro Shaba,57729.55,57.73
7,Haa,58494.61,58.49
8,Wangdue Zero Point,57937.96,57.94
9,Beychu,58161.46,58.16
10,Samtse Checkpost,55654.68,55.65
11,Sipsoo,56913.59,56.91
12,Pagli,55613.49,55.61
13,Gedu,56863.71,56.86
14,Mitsina,57848.56,57.85
15,Khuruthang,57913.53,57.91
16,Gasa,59272.81,59.27
17,Dorokha,56609.94,56.61
18,Langdru (Khasadrapchu),57575.97,57.58
