"NEW PRICI NG DETA ILS
Region:Central RegionProduct:HSD (in KL)Approved Date:2021-06-01
#StationRSP/KLRSP/L
1Gelephu Forest Checkpost65204.565.2
2Sarpang65546.9665.55
3Dagapela66886.7766.89
4Tsirang66405.6266.41
5Zhemgang67101.967.1
6Trongsa68071.3768.07
7Bumthang68922.8568.92
8Dagana67376.5467.38
9Lhamoizingkha66211.566.21
10Dangdung68644.6268.64
11Panbang66757.0366.76
12Tingtibi66384.2266.38",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,65204.5,65.2
2,Sarpang,65546.96,65.55
3,Dagapela,66886.77,66.89
4,Tsirang,66405.62,66.41
5,Zhemgang,67101.9,67.1
6,Trongsa,68071.37,68.07
7,Bumthang,68922.85,68.92
8,Dagana,67376.54,67.38
9,Lhamoizingkha,66211.5,66.21
10,Dangdung,68644.62,68.64
11,Panbang,66757.03,66.76
12,Tingtibi,66384.22,66.38
