"#",Station,RSP/KL,RSP/L
1,Phuentsholing,42060.66,42.06
2,Rinchending,42141.12,42.14
3,Pasakha,42194.76,42.19
4,Chimakothi,43274.9,43.27
5,Chubachu,43751.29,43.75
6,Paro Shaba,43727.78,43.73
7,Haa,44380.81,44.38
8,Wangdue Zero Point,44101.48,44.1
9,Beychu,44324.98,44.32
10,Samtse Checkpost,42128.79,42.13
11,Sipsoo,43186.69,43.19
12,Pagli,42082.21,42.08
13,Gedu,42861.34,42.86
14,Mitsina,44012.08,44.01
15,Khuruthang,44084.09,44.08
16,Gasa,45183.2,45.18
17,Dorokha,42771.63,42.77
18,Langdru (Khasadrapchu),43599.31,43.6
