"#",Station,RSP/KL,RSP/L
1,Phuentsholing,48126.24,48.13
2,Rinchending,48206.7,48.21
3,Pasakha,48260.34,48.26
4,Chimakothi,49551.09,49.55
5,Chubachu,50013.47,50.01
6,Paro Shaba,50007.36,50.01
7,Haa,50738.02,50.74
8,Wangdue Zero Point,50266.53,50.27
9,Beychu,50490.03,50.49
10,Samtse Checkpost,48220.33,48.22
11,Sipsoo,49275.82,49.28
12,Pagli,48173.62,48.17
13,Gedu,49141.34,49.14
14,Mitsina,50177.13,50.18
15,Khuruthang,50244.26,50.24
16,Gasa,51523.65,51.52
17,Dorokha,48937.95,48.94
18,Langdru (Khasadrapchu),49861.49,49.86
