"NEW PRICI NG DETA ILS
Region:Eastern RegionProduct:MS (in KL)Approved Date:2021-10-01
#StationRSP/KLRSP/L
1Samdrup Jongkhar72744.7472.74
2Wamrong74373.2974.37
3Trashigang74481.0974.48
4Trashiyangtse75537.8175.54
5Mongar75638.1275.64
6Gyelposing75499.0375.5
7Kanglung74800.9774.8
8Pemagatshel74195.9274.2
9Lhuntse76113.4876.11
10Jomotsangkha73581.4673.58
11Autsho75730.3875.73
12Doksum74784.0674.78
13Bhangtar73352.6673.35
14Rangjung74807.9174.81",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,72744.74,72.74
2,Wamrong,74373.29,74.37
3,Trashigang,74481.09,74.48
4,Trashiyangtse,75537.81,75.54
5,Mongar,75638.12,75.64
6,Gyelposing,75499.03,75.5
7,Kanglung,74800.97,74.8
8,Pemagatshel,74195.92,74.2
9,Lhuntse,76113.48,76.11
10,Jomotsangkha,73581.46,73.58
11,Autsho,75730.38,75.73
12,Doksum,74784.06,74.78
13,Bhangtar,73352.66,73.35
14,Rangjung,74807.91,74.81
