"#",Station,RSP/KL,RSP/L
1,Phuentsholing,54704.61,54.7
2,Rinchending,54785.07,54.79
3,Pasakha,54838.71,54.84
4,Chimakothi,56209.96,56.21
5,Chubachu,56667,56.67
6,Paro Shaba,56667.53,56.67
7,Haa,57427.86,57.43
8,Wangdue Zero Point,56882.93,56.88
9,Beychu,57106.43,57.11
10,Samtse Checkpost,54605.74,54.61
11,Sipsoo,55863.19,55.86
12,Pagli,54564.53,54.56
13,Gedu,55801.67,55.8
14,Mitsina,56793.53,56.79
15,Khuruthang,56858.79,56.86
16,Gasa,58207.09,58.21
17,Dorokha,55554.83,55.55
18,Langdru (Khasadrapchu),56515.02,56.52
