"#",Station,RSP/KL,RSP/L
1,Phuentsholing,50449.62,50.45
2,Rinchending,50530.08,50.53
3,Pasakha,50583.72,50.58
4,Chimakothi,51737.37,51.74
5,Chubachu,52208.87,52.21
6,Paro Shaba,52191.44,52.19
7,Haa,52871.56,52.87
8,Wangdue Zero Point,52525.16,52.53
9,Beychu,52748.66,52.75
10,Samtse Checkpost,50000.11,50
11,Sipsoo,51583.87,51.58
12,Pagli,50067.9,50.07
13,Gedu,51325.14,51.33
14,Mitsina,52435.76,52.44
15,Khuruthang,52506.07,52.51
16,Gasa,53668.1,53.67
17,Dorokha,51195.75,51.2
18,Langdru (Khasadrapchu),52056.89,52.06
