"#",Station,RSP/KL,RSP/L
1,Phuentsholing,53425.01,53.43
2,Rinchending,53505.47,53.51
3,Pasakha,53559.11,53.56
4,Chimakothi,54738.84,54.74
5,Chubachu,55208.6,55.21
6,Paro Shaba,55193.32,55.19
7,Haa,55883.05,55.88
8,Wangdue Zero Point,55512.87,55.51
9,Beychu,55736.37,55.74
10,Samtse Checkpost,53326.35,53.33
11,Sipsoo,54562.18,54.56
12,Pagli,53285.26,53.29
13,Gedu,54327.08,54.33
14,Mitsina,55423.47,55.42
15,Khuruthang,55493.17,55.49
16,Gasa,56677.52,56.68
17,Dorokha,54183.61,54.18
18,Langdru (Khasadrapchu),55056.62,55.06
