"#",Station,RSP/KL,RSP/L
1,Phuentsholing,56751.91,56.75
2,Rinchending,56832.37,56.83
3,Pasakha,56886.01,56.89
4,Chimakothi,58282.32,58.28
5,Chubachu,58737.69,58.74
6,Paro Shaba,58740.29,58.74
7,Haa,59509.85,59.51
8,Wangdue Zero Point,58942.06,58.94
9,Beychu,59165.56,59.17
10,Samtse Checkpost,56858.95,56.86
11,Sipsoo,57913.29,57.91
12,Pagli,56812.25,56.81
13,Gedu,57874.48,57.87
14,Mitsina,58852.66,58.85
15,Khuruthang,58917.35,58.92
16,Gasa,60287.09,60.29
17,Dorokha,57614.12,57.61
18,Langdru (Khasadrapchu),58585.71,58.59
