"#",Station,RSP/KL,RSP/L
1,Phuentsholing,54058.73,54.06
2,Rinchending,54139.19,54.14
3,Pasakha,54192.83,54.19
4,Chimakothi,55378.11,55.38
5,Chubachu,55847.5,55.85
6,Paro Shaba,55832.68,55.83
7,Haa,56524.46,56.52
8,Wangdue Zero Point,56149.21,56.15
9,Beychu,56372.71,56.37
10,Samtse Checkpost,53960.07,53.96
11,Sipsoo,55196.52,55.2
12,Pagli,53918.98,53.92
13,Gedu,54966.45,54.97
14,Mitsina,56059.81,56.06
15,Khuruthang,56129.38,56.13
16,Gasa,57318.49,57.32
17,Dorokha,54819.99,54.82
18,Langdru (Khasadrapchu),55695.52,55.7
