"NEW PRICI NG DETA ILS
Region:Eastern RegionProduct:MS (in KL)Approved Date:2021-05-16
#StationRSP/KLRSP/L
1Samdrup Jongkhar67082.4367.08
2Nganglam67082.4367.08
3Wamrong68652.2268.65
4Trashigang68808.7368.81
5Trashiyangtse69820.0969.82
6Mongar69938.6269.94
7Gyelposing69835.9669.84
8Kanglung69087.7969.09
9Pemagatshel68489.5768.49
10Lhuntse70429.470.43
11Jomotsangkha66643.8266.64
12Autsho70054.6770.05
13Doksum69105.4269.11
14Bhangtar67690.3567.69
15Rangjung69121.7369.12",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,67082.43,67.08
2,Nganglam,67082.43,67.08
3,Wamrong,68652.22,68.65
4,Trashigang,68808.73,68.81
5,Trashiyangtse,69820.09,69.82
6,Mongar,69938.62,69.94
7,Gyelposing,69835.96,69.84
8,Kanglung,69087.79,69.09
9,Pemagatshel,68489.57,68.49
10,Lhuntse,70429.4,70.43
11,Jomotsangkha,66643.82,66.64
12,Autsho,70054.67,70.05
13,Doksum,69105.42,69.11
14,Bhangtar,67690.35,67.69
15,Rangjung,69121.73,69.12
