"#",Station,RSP/KL,RSP/L
1,Phuentsholing,54831.05,54.83
2,Rinchending,54911.51,54.91
3,Pasakha,54965.15,54.97
4,Chimakothi,56337.95,56.34
5,Chubachu,56794.88,56.79
6,Paro Shaba,56795.55,56.8
7,Haa,57556.44,57.56
8,Wangdue Zero Point,57010.1,57.01
9,Beychu,57233.6,57.23
10,Samtse Checkpost,54732.18,54.73
11,Sipsoo,55989.8,55.99
12,Pagli,54690.99,54.69
13,Gedu,55929.69,55.93
14,Mitsina,56920.7,56.92
15,Khuruthang,56985.93,56.99
16,Gasa,58335.55,58.34
17,Dorokha,55682.01,55.68
18,Langdru (Khasadrapchu),56642.9,56.64
