"NEW PRICI NG DETA ILS
Region:Western RegionProduct:HSD (in KL)Approved Date:2021-04-01
#StationRSP/KLRSP/L
1Phuentsholing63200.2663.2
2Rinchending63280.7263.28
3Pasakha63334.3663.33
4Chimakothi64599.7464.6
5Lungtenzampa65063.8165.06
6Paro Town65055.6165.06
7Haa65776.9165.78
8Bajo Town65328.5765.33
9Beychu65552.0765.55
10Samtse Town62761.662.76
11Sipsoo6434764.35
12Gomtu62818.8262.82
13Gedu64189.5464.19
14Lobesa65226.4365.23
15Khuruthang65306.8965.31
16Gasa66564.5666.56",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,63200.26,63.2
2,Rinchending,63280.72,63.28
3,Pasakha,63334.36,63.33
4,Chimakothi,64599.74,64.6
5,Lungtenzampa,65063.81,65.06
6,Paro Town,65055.61,65.06
7,Haa,65776.91,65.78
8,Bajo Town,65328.57,65.33
9,Beychu,65552.07,65.55
10,Samtse Town,62761.6,62.76
11,Sipsoo,64347,64.35
12,Gomtu,62818.82,62.82
13,Gedu,64189.54,64.19
14,Lobesa,65226.43,65.23
15,Khuruthang,65306.89,65.31
16,Gasa,66564.56,66.56
