"#",Station,RSP/KL,RSP/L
1,Phuentsholing,46490.94,46.49
2,Rinchending,46571.4,46.57
3,Pasakha,46625.04,46.63
4,Chimakothi,47744,47.74
5,Chubachu,48217.81,48.22
6,Paro Shaba,48197.51,48.2
7,Haa,48864.85,48.86
8,Wangdue Zero Point,48550.1,48.55
9,Beychu,48773.6,48.77
10,Samtse Checkpost,46392.29,46.39
11,Sipsoo,47621.31,47.62
12,Pagli,46351.19,46.35
13,Gedu,47331.14,47.33
14,Mitsina,48460.7,48.46
15,Khuruthang,48531.81,48.53
16,Gasa,49664.15,49.66
17,Dorokha,47220.48,47.22
18,Langdru (Khasadrapchu),48065.83,48.07
