"#",Station,RSP/KL,RSP/L
1,Phuentsholing,59931.65,59.93
2,Rinchending,60012.11,60.01
3,Pasakha,60065.75,60.07
4,Chimakothi,61500.97,61.5
5,Chubachu,61953.75,61.95
6,Paro Shaba,61959.57,61.96
7,Haa,62743.48,62.74
8,Wangdue Zero Point,62140.18,62.14
9,Beychu,62363.68,62.36
10,Samtse Checkpost,59491.17,59.49
11,Sipsoo,61097.38,61.1
12,Pagli,59549.01,59.55
13,Gedu,61093.84,61.09
14,Mitsina,62050.78,62.05
15,Khuruthang,62114.56,62.11
16,Gasa,63517.61,63.52
17,Dorokha,60812.47,60.81
18,Langdru (Khasadrapchu),61801.77,61.8
