"#",Station,RSP/KL,RSP/L
1,Phuentsholing,57902.73,57.9
2,Rinchending,57983.19,57.98
3,Pasakha,58036.83,58.04
4,Chimakothi,59255.79,59.26
5,Chubachu,59722.95,59.72
6,Paro Shaba,59710.91,59.71
7,Haa,60415.11,60.42
8,Wangdue Zero Point,60009.12,60.01
9,Beychu,60232.62,60.23
10,Samtse Checkpost,57463.31,57.46
11,Sipsoo,59044.28,59.04
12,Pagli,57521.01,57.52
13,Gedu,58844.74,58.84
14,Mitsina,59919.72,59.92
15,Khuruthang,59988.51,59.99
16,Gasa,61206.45,61.21
17,Dorokha,58680.1,58.68
18,Langdru (Khasadrapchu),59570.97,59.57
