"#",Station,RSP/KL,RSP/L
1,Phuentsholing,65209.19,65.21
2,Rinchending,65289.65,65.29
3,Pasakha,65343.29,65.34
4,Chimakothi,66843.1,66.84
5,Chubachu,67291.59,67.29
6,Paro Shaba,67302.74,67.3
7,Haa,68110.45,68.11
8,Wangdue Zero Point,67448.22,67.45
9,Beychu,67671.72,67.67
10,Samtse Checkpost,64768.68,64.77
11,Sipsoo,66382.14,66.38
12,Pagli,64826.54,64.83
13,Gedu,66437.14,66.44
14,Mitsina,67358.82,67.36
15,Khuruthang,67421.11,67.42
16,Gasa,68879.45,68.88
17,Dorokha,66120.9,66.12
18,Langdru (Khasadrapchu),67139.61,67.14
