"#",Station,RSP/KL,RSP/L
1,Phuentsholing,44083.4,44.08
2,Rinchending,44163.86,44.16
3,Pasakha,44217.5,44.22
4,Chimakothi,45458.77,45.46
5,Chubachu,45924.45,45.92
6,Paro Shaba,45914.25,45.91
7,Haa,46626.67,46.63
8,Wangdue Zero Point,46200.33,46.2
9,Beychu,46423.83,46.42
10,Samtse Checkpost,44171.4,44.17
11,Sipsoo,45227.45,45.23
12,Pagli,44124.69,44.12
13,Gedu,45048.13,45.05
14,Mitsina,46110.93,46.11
15,Khuruthang,46179.2,46.18
16,Gasa,47416.24,47.42
17,Dorokha,44871.45,44.87
18,Langdru (Khasadrapchu),45772.47,45.77
