"#",Station,RSP/KL,RSP/L
1,Phuentsholing,50167.97,50.17
2,Rinchending,50248.43,50.25
3,Pasakha,50302.07,50.3
4,Chimakothi,51453.25,51.45
5,Chubachu,51924.92,51.92
6,Paro Shaba,51907.28,51.91
7,Haa,52586.49,52.59
8,Wangdue Zero Point,52242.35,52.24
9,Beychu,52465.85,52.47
10,Samtse Checkpost,50069.32,50.07
11,Sipsoo,51301.95,51.3
12,Pagli,50028.23,50.03
13,Gedu,51040.98,51.04
14,Mitsina,52152.95,52.15
15,Khuruthang,52223.31,52.22
16,Gasa,53383.23,53.38
17,Dorokha,50912.92,50.91
18,Langdru (Khasadrapchu),51772.94,51.77
