"NEW PRICI NG DETA ILS
Region:Eastern RegionProduct:HSD (in KL)Approved Date:2021-04-16
#StationRSP/KLRSP/L
1Samdrup Jongkhar61332.7961.33
2Nganglam61332.7961.33
3Wamrong62670.4962.67
4Trashigang63019.463.02
5Trashiyangtse63851.5963.85
6Mongar64042.0664.04
7Gyelposing64083.2864.08
8Kanglung63137.2163.14
9Pemagatshel6256662.57
10Lhuntse64593.7664.59
11Jomotsangkha60916.5560.92
12Autsho64252.1164.25
13Doksum63291.2863.29
14Bhangtar61940.7161.94
15Rangjung63277.8263.28",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,61332.79,61.33
2,Nganglam,61332.79,61.33
3,Wamrong,62670.49,62.67
4,Trashigang,63019.4,63.02
5,Trashiyangtse,63851.59,63.85
6,Mongar,64042.06,64.04
7,Gyelposing,64083.28,64.08
8,Kanglung,63137.21,63.14
9,Pemagatshel,62566,62.57
10,Lhuntse,64593.76,64.59
11,Jomotsangkha,60916.55,60.92
12,Autsho,64252.11,64.25
13,Doksum,63291.28,63.29
14,Bhangtar,61940.71,61.94
15,Rangjung,63277.82,63.28
