"#",Station,RSP/KL,RSP/L
1,Phuentsholing,55413.65,55.41
2,Rinchending,55494.11,55.49
3,Pasakha,55547.75,55.55
4,Chimakothi,56927.68,56.93
5,Chubachu,57384.14,57.38
6,Paro Shaba,57385.39,57.39
7,Haa,58148.92,58.15
8,Wangdue Zero Point,57596.07,57.6
9,Beychu,57819.57,57.82
10,Samtse Checkpost,54973.16,54.97
11,Sipsoo,56573.2,56.57
12,Pagli,55030.99,55.03
13,Gedu,56519.55,56.52
14,Mitsina,57506.67,57.51
15,Khuruthang,57571.73,57.57
16,Gasa,58927.45,58.93
17,Dorokha,56268.02,56.27
18,Langdru (Khasadrapchu),57232.16,57.23
