"NEW PRICI NG DETA ILS
Region:Western RegionProduct:MS (in KL)Approved Date:2021-12-16
#StationRSP/KLRSP/L
1Phuentsholing70749.1870.75
2Rinchending70829.6470.83
3Pasakha70883.2870.88
4Chimakothi72450.8872.45
5Lungtenzampa72894.8772.89
6Paro Town72911.6272.91
7Haa73744.3273.74
8Bajo Town73020.2473.02
9Beychu73243.7473.24
10Samtse Town70244.2270.24
11Sipsoo71929.771.93
12Gomtu70303.8370.3
13Gedu72046.1572.05
14Khuruthang72991.5572.99
15Gasa74507.9274.51
16Motithang72894.8772.89
17Olakha72894.8772.89
18Paro NIE Bridge72911.6272.91
19Langlitsawa73243.7473.24
20Wangdue Zero Point73020.2473.02
21Phuentsholing Main gate70749.1870.75",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,70749.18,70.75
2,Rinchending,70829.64,70.83
3,Pasakha,70883.28,70.88
4,Chimakothi,72450.88,72.45
5,Lungtenzampa,72894.87,72.89
6,Paro Town,72911.62,72.91
7,Haa,73744.32,73.74
8,Bajo Town,73020.24,73.02
9,Beychu,73243.74,73.24
10,Samtse Town,70244.22,70.24
11,Sipsoo,71929.7,71.93
12,Gomtu,70303.83,70.3
13,Gedu,72046.15,72.05
14,Khuruthang,72991.55,72.99
15,Gasa,74507.92,74.51
16,Motithang,72894.87,72.89
17,Olakha,72894.87,72.89
18,Paro NIE Bridge,72911.62,72.91
19,Langlitsawa,73243.74,73.24
20,Wangdue Zero Point,73020.24,73.02
21,Phuentsholing Main gate,70749.18,70.75
