"#",Station,RSP/KL,RSP/L
1,Phuentsholing,56935.05,56.94
2,Rinchending,57015.51,57.02
3,Pasakha,57069.15,57.07
4,Chimakothi,58279.63,58.28
5,Chubachu,58747.35,58.75
6,Paro Shaba,58734.61,58.73
7,Haa,59435.68,59.44
8,Wangdue Zero Point,59037.44,59.04
9,Beychu,59260.94,59.26
10,Samtse Checkpost,57019.21,57.02
11,Sipsoo,58075.65,58.08
12,Pagli,56972.64,56.97
13,Gedu,57868.43,57.87
14,Mitsina,58948.04,58.95
15,Khuruthang,59017.02,59.02
16,Gasa,60227.7,60.23
17,Dorokha,57708.37,57.71
18,Langdru (Khasadrapchu),58595.37,58.6
