"#",Station,RSP/KL,RSP/L
1,Ramtokto,66347.56,66.35
2,Rinchending,42441.85,39.32
3,Pasakha,42495.49,39.38
4,Chimakothi,43522.74,40.4
5,Chubachu,44002.64,40.88
6,Paro Shaba,43974.77,40.86
7,Haa,44608.3,41.49
8,Wangdue Zero Point,44377.23,41.26
9,Beychu,44600.73,41.48
10,Samtse Checkpost,42124.39,39
11,Sipsoo,43481.51,40.36
12,Pagli,42155.99,39.04
13,Gedu,43108.22,39.99
14,Mitsina,44287.83,41.17
15,Khuruthang,44361.07,41.24
16,Gasa,45414.9,42.3
17,Dorokha,42683.66,39.56
18,Langdru (Khasadrapchu),43487.26,40.37
19,null,0,0
