"#",Station,RSP/KL,RSP/L
1,Phuentsholing,50305.99,50.31
2,Rinchending,50386.45,50.39
3,Pasakha,50440.09,50.44
4,Chimakothi,51592.48,51.59
5,Chubachu,52064.07,52.06
6,Paro Shaba,52046.53,52.05
7,Haa,52726.19,52.73
8,Wangdue Zero Point,52380.94,52.38
9,Beychu,52604.44,52.6
10,Samtse Checkpost,49866.55,49.87
11,Sipsoo,51440.1,51.44
12,Pagli,49924.26,49.92
13,Gedu,51180.23,51.18
14,Mitsina,52291.54,52.29
15,Khuruthang,52361.87,52.36
16,Gasa,53522.83,53.52
17,Dorokha,51051.52,51.05
18,Langdru (Khasadrapchu),51912.09,51.91
