"#",Station,RSP/KL,RSP/L
1,Phuentsholing,53492.87,53.49
2,Rinchending,53573.33,53.57
3,Pasakha,53626.97,53.63
4,Chimakothi,54807.29,54.81
5,Chubachu,55277.02,55.28
6,Paro Shaba,55261.78,55.26
7,Haa,55951.74,55.95
8,Wangdue Zero Point,55581.01,55.58
9,Beychu,55804.51,55.8
10,Samtse Checkpost,53394.23,53.39
11,Sipsoo,54630.1,54.63
12,Pagli,53353.12,53.35
13,Gedu,54395.54,54.4
14,Mitsina,55491.61,55.49
15,Khuruthang,55561.3,55.56
16,Gasa,56746.15,56.75
17,Dorokha,54251.76,54.25
18,Langdru (Khasadrapchu),55125.04,55.13
