"#",Station,RSP/KL,RSP/L
1,Phuentsholing,54737.68,54.74
2,Rinchending,54818.14,54.82
3,Pasakha,54871.78,54.87
4,Chimakothi,56063.01,56.06
5,Chubachu,56532.01,56.53
6,Paro Shaba,56517.68,56.52
7,Haa,57211.65,57.21
8,Wangdue Zero Point,56830.97,56.83
9,Beychu,57054.47,57.05
10,Samtse Checkpost,54639.03,54.64
11,Sipsoo,55876.13,55.88
12,Pagli,54597.94,54.6
13,Gedu,55651.46,55.65
14,Mitsina,56741.57,56.74
15,Khuruthang,56811,56.81
16,Gasa,58005.2,58.01
17,Dorokha,55501.79,55.5
18,Langdru (Khasadrapchu),56380.03,56.38
