"#",Station,RSP/KL,RSP/L
1,Phuentsholing,50545.6,50.55
2,Rinchending,50626.06,50.63
3,Pasakha,50679.7,50.68
4,Chimakothi,51834.19,51.83
5,Chubachu,52305.64,52.31
6,Paro Shaba,52288.27,52.29
7,Haa,52968.71,52.97
8,Wangdue Zero Point,52621.54,52.62
9,Beychu,52845.04,52.85
10,Samtse Checkpost,50446.94,50.45
11,Sipsoo,51679.95,51.68
12,Pagli,50405.85,50.41
13,Gedu,51421.98,51.42
14,Mitsina,52532.14,52.53
15,Khuruthang,52602.43,52.6
16,Gasa,53765.18,53.77
17,Dorokha,51292.14,51.29
18,Langdru (Khasadrapchu),52153.66,52.15
