"NEW PRICI NG DETA ILS
Region:Western RegionProduct:MS (in KL)Approved Date:2022-02-01
#StationRSP/KLRSP/L
1Lobesa78886.0378.89
2Phuentsholing76670.1576.67
3Rinchending76750.6176.75
4Pasakha76804.2576.8
5Chimakothi78444.3178.44
6Chubachu78883.4878.88
7Paro Shaba78906.2178.91
8Haa79765.6279.77
9Wangdue Zero Point78975.4378.98
10Beychu79198.9379.2
11Samtse Checkpost76173.0676.17
12Sipsoo77858.7777.86
13Pagli76231.5476.23
14Gedu78040.978.04
15Mitsina78886.0378.89
16Khuruthang78945.0778.95
17Gasa80523.4680.52
18Dorokha77648.9677.65
19Langdru (Khasadrapchu)78731.578.73
20Chanzamtok78883.4878.88
21Gomtu Phuentshopelri76670.1576.67
22Motithang78883.4878.88
23Lungtenzampa78883.4878.88
24Olakha78883.4878.88
25Samtse Town76173.0676.17
26Langlitsawa79198.9379.2
27Gomtu76231.5476.23
28Phuentsholing Truck Parking76670.1576.67
29Phuentsholing Dungkhag Office76670.1576.67
30Phuentsholing Near MDP76670.1576.67",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,78886.03,78.89
2,Phuentsholing,76670.15,76.67
3,Rinchending,76750.61,76.75
4,Pasakha,76804.25,76.8
5,Chimakothi,78444.31,78.44
6,Chubachu,78883.48,78.88
7,Paro Shaba,78906.21,78.91
8,Haa,79765.62,79.77
9,Wangdue Zero Point,78975.43,78.98
10,Beychu,79198.93,79.2
11,Samtse Checkpost,76173.06,76.17
12,Sipsoo,77858.77,77.86
13,Pagli,76231.54,76.23
14,Gedu,78040.9,78.04
15,Mitsina,78886.03,78.89
16,Khuruthang,78945.07,78.95
17,Gasa,80523.46,80.52
18,Dorokha,77648.96,77.65
19,Langdru (Khasadrapchu),78731.5,78.73
20,Chanzamtok,78883.48,78.88
21,Gomtu Phuentshopelri,76670.15,76.67
22,Motithang,78883.48,78.88
23,Lungtenzampa,78883.48,78.88
24,Olakha,78883.48,78.88
25,Samtse Town,76173.06,76.17
26,Langlitsawa,79198.93,79.2
27,Gomtu,76231.54,76.23
28,Phuentsholing Truck Parking,76670.15,76.67
29,Phuentsholing Dungkhag Office,76670.15,76.67
30,Phuentsholing Near MDP,76670.15,76.67
