"NEW PRICI NG DETA ILS
Region:Central RegionProduct:HSD (in KL)Approved Date:2020-06-01
#StationRSP/KLRSP/L
1Gelephu Town44446.1244.45
2Sarpang44501.6844.5
3Dagapela46016.6446.02
4Tsirang45520.6645.52
5Zhemgang48613.8948.61
6Trongsa4760647.61
7Bumthang47950.3347.95
8Dagana46478.446.48
9Lhamoizingkha47507.2947.51
10Dangdung47821.3947.82
11Panbang45998.6546
12Tingtibi46168.2846.17",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,44446.12,44.45
2,Sarpang,44501.68,44.5
3,Dagapela,46016.64,46.02
4,Tsirang,45520.66,45.52
5,Zhemgang,48613.89,48.61
6,Trongsa,47606,47.61
7,Bumthang,47950.33,47.95
8,Dagana,46478.4,46.48
9,Lhamoizingkha,47507.29,47.51
10,Dangdung,47821.39,47.82
11,Panbang,45998.65,46
12,Tingtibi,46168.28,46.17
