"NEW PRICI NG DETA ILS
Region:Western RegionProduct:HSD (in KL)Approved Date:2020-11-01
#StationRSP/KLRSP/L
1Phuentsholing50414.950.41
2Rinchending50495.3650.5
3Pasakha5054950.55
4Chimakothi51702.3551.7
5Lungtenzampa52173.8752.17
6Paro Town52156.4152.16
7Haa52836.4252.84
8Bajo Town52490.352.49
9Beychu52713.852.71
10Samtse Town49976.2549.98
11Sipsoo51549.1251.55
12Gomtu50033.4650.03
13Gedu51290.1151.29
14Lobesa52390.7552.39
15Khuruthang52471.2152.47
16Gasa53632.9853.63",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,50414.9,50.41
2,Rinchending,50495.36,50.5
3,Pasakha,50549,50.55
4,Chimakothi,51702.35,51.7
5,Lungtenzampa,52173.87,52.17
6,Paro Town,52156.41,52.16
7,Haa,52836.42,52.84
8,Bajo Town,52490.3,52.49
9,Beychu,52713.8,52.71
10,Samtse Town,49976.25,49.98
11,Sipsoo,51549.12,51.55
12,Gomtu,50033.46,50.03
13,Gedu,51290.11,51.29
14,Lobesa,52390.75,52.39
15,Khuruthang,52471.21,52.47
16,Gasa,53632.98,53.63
