"NEW PRICI NG DETA ILS
Region:Eastern RegionProduct:HSD (in KL)Approved Date:2020-01-16
#StationRSP/KLRSP/L
1Samdrup Jongkhar59412.7459.41
2Nganglam59412.7459.41
3Wamrong60736.1860.74
4Trashigang61096.9161.1
5Trashiyangtse61918.0961.92
6Mongar62112.9862.11
7Gyelposing62163.0562.16
8Kanglung61204.8161.2
9Pemagatshel60635.2660.64
10Lhuntse62668.4262.67
11Jomotsangkha60353.3660.35
12Autsho62328.862.33
13Doksum61367.2761.37
14Bhangtar60142.4960.14
15Rangjung61351.9861.35",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,59412.74,59.41
2,Nganglam,59412.74,59.41
3,Wamrong,60736.18,60.74
4,Trashigang,61096.91,61.1
5,Trashiyangtse,61918.09,61.92
6,Mongar,62112.98,62.11
7,Gyelposing,62163.05,62.16
8,Kanglung,61204.81,61.2
9,Pemagatshel,60635.26,60.64
10,Lhuntse,62668.42,62.67
11,Jomotsangkha,60353.36,60.35
12,Autsho,62328.8,62.33
13,Doksum,61367.27,61.37
14,Bhangtar,60142.49,60.14
15,Rangjung,61351.98,61.35
