"NEW PRICI NG DETA ILS
Region:Central RegionProduct:MS (in KL)Approved Date:2021-01-16
#StationRSP/KLRSP/L
1Gelephu Forest Checkpost56763.8856.76
2Sarpang57122.6957.12
3Dagapela58515.8758.52
4Tsirang58043.9858.04
5Zhemgang58750.7858.75
6Trongsa59715.6859.72
7Bumthang60615.8660.62
8Dagana59023.1459.02
9Lhamoizingkha57772.0257.77
10Dangdung60244.4660.24
11Panbang58316.4158.32
12Tingtibi57964.9757.96",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,56763.88,56.76
2,Sarpang,57122.69,57.12
3,Dagapela,58515.87,58.52
4,Tsirang,58043.98,58.04
5,Zhemgang,58750.78,58.75
6,Trongsa,59715.68,59.72
7,Bumthang,60615.86,60.62
8,Dagana,59023.14,59.02
9,Lhamoizingkha,57772.02,57.77
10,Dangdung,60244.46,60.24
11,Panbang,58316.41,58.32
12,Tingtibi,57964.97,57.96
