"NEW PRICI NG DETA ILS
Region:Eastern RegionProduct:MS (in KL)Approved Date:2020-01-15
#StationRSP/KLRSP/L
1Samdrup Jongkhar58579.9558.58
2Nganglam58579.9558.58
3Wamrong60061.5160.06
4Trashigang60291.1660.29
5Trashiyangtse61234.4161.23
6Mongar61380.2961.38
7Gyelposing61332.3261.33
8Kanglung60508.9260.51
9Pemagatshel59920.9759.92
10Lhuntse61894.2261.89
11Jomotsangkha59522.8859.52
12Autsho61532.0761.53
13Doksum60578.4260.58
14Bhangtar59353.6459.35
15Rangjung60583.4260.58",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,58579.95,58.58
2,Nganglam,58579.95,58.58
3,Wamrong,60061.51,60.06
4,Trashigang,60291.16,60.29
5,Trashiyangtse,61234.41,61.23
6,Mongar,61380.29,61.38
7,Gyelposing,61332.32,61.33
8,Kanglung,60508.92,60.51
9,Pemagatshel,59920.97,59.92
10,Lhuntse,61894.22,61.89
11,Jomotsangkha,59522.88,59.52
12,Autsho,61532.07,61.53
13,Doksum,60578.42,60.58
14,Bhangtar,59353.64,59.35
15,Rangjung,60583.42,60.58
