"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-05-16#StationRSP/KLRSP/L1Ramtokto48964.6648.96",,,
"#",Station,RSP/KL,RSP/L
1,Ramtokto,48964.66,48.96
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-05-16#StationRSP/KLRSP/L1Ramtokto48964.6648.96",,,
"#",Station,RSP/KL,RSP/L
1,Ramtokto,48964.66,48.96
