"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-05-06#StationRSP/KLRSP/L1Ramtokto45431.9245.43",,,
"#",Station,RSP/KL,RSP/L
1,Ramtokto,45431.92,45.43
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-05-06#StationRSP/KLRSP/L1Ramtokto45431.9245.43",,,
"#",Station,RSP/KL,RSP/L
1,Ramtokto,45431.92,45.43
