"#",Station,RSP/KL,RSP/L
1,Phuentsholing,60897.91,60.9
2,Rinchending,60978.37,60.98
3,Pasakha,61032.01,61.03
4,Chimakothi,62479.05,62.48
5,Chubachu,62931.05,62.93
6,Paro Shaba,62937.85,62.94
7,Haa,63726.11,63.73
8,Wangdue Zero Point,63112.02,63.11
9,Beychu,63335.52,63.34
10,Samtse Checkpost,60457.43,60.46
11,Sipsoo,62064.96,62.06
12,Pagli,60515.26,60.52
13,Gedu,62072.14,62.07
14,Mitsina,63022.62,63.02
15,Khuruthang,63086.13,63.09
16,Gasa,64499.31,64.5
17,Dorokha,61784.39,61.78
18,Langdru (Khasadrapchu),62779.07,62.78
