"#",Station,RSP/KL,RSP/L
1,Phuentsholing,53352.39,53.35
2,Rinchending,53432.85,53.43
3,Pasakha,53486.49,53.49
4,Chimakothi,54665.58,54.67
5,Chubachu,55135.39,55.14
6,Paro Shaba,55120.05,55.12
7,Haa,55809.55,55.81
8,Wangdue Zero Point,55439.95,55.44
9,Beychu,55663.45,55.66
10,Samtse Checkpost,52912.97,52.91
11,Sipsoo,54489.48,54.49
12,Pagli,52970.67,52.97
13,Gedu,54253.81,54.25
14,Mitsina,55350.55,55.35
15,Khuruthang,55420.26,55.42
16,Gasa,56604.07,56.6
17,Dorokha,54110.69,54.11
18,Langdru (Khasadrapchu),54983.41,54.98
