"#",Station,RSP/KL,RSP/L
1,Phuentsholing,47186.5,47.19
2,Rinchending,47266.96,47.27
3,Pasakha,47320.6,47.32
4,Chimakothi,48599.85,48.6
5,Chubachu,49063,49.06
6,Paro Shaba,49055.94,49.06
7,Haa,49782.35,49.78
8,Wangdue Zero Point,49321.36,49.32
9,Beychu,49544.86,49.54
10,Samtse Checkpost,47087.62,47.09
11,Sipsoo,48334.79,48.33
12,Pagli,47046.41,47.05
13,Gedu,48189.89,48.19
14,Mitsina,49231.96,49.23
15,Khuruthang,49299.36,49.3
16,Gasa,50568.9,50.57
17,Dorokha,47992.71,47.99
18,Langdru (Khasadrapchu),48911.02,48.91
