"#",Station,RSP/KL,RSP/L
1,Phuentsholing,63920.49,63.92
2,Rinchending,64000.95,64
3,Pasakha,64054.59,64.05
4,Chimakothi,65326.28,65.33
5,Chubachu,65789.94,65.79
6,Paro Shaba,65782.25,65.78
7,Haa,66505.88,66.51
8,Wangdue Zero Point,66051.79,66.05
9,Beychu,66275.29,66.28
10,Samtse Checkpost,63481.07,63.48
11,Sipsoo,65067.94,65.07
12,Pagli,63538.78,63.54
13,Gedu,64916.19,64.92
14,Mitsina,65962.39,65.96
15,Khuruthang,66029.96,66.03
16,Gasa,67293.03,67.29
17,Dorokha,64723.09,64.72
18,Langdru (Khasadrapchu),65637.96,65.64
