"#",Station,RSP/KL,RSP/L
1,Phuentsholing,56544.81,56.54
2,Rinchending,56625.27,56.63
3,Pasakha,56678.91,56.68
4,Chimakothi,58072.68,58.07
5,Chubachu,58528.22,58.53
6,Paro Shaba,58530.62,58.53
7,Haa,59299.24,59.3
8,Wangdue Zero Point,58733.76,58.73
9,Beychu,58957.26,58.96
10,Samtse Checkpost,56445.92,56.45
11,Sipsoo,57705.9,57.71
12,Pagli,56404.73,56.4
13,Gedu,57664.8,57.66
14,Mitsina,58644.36,58.64
15,Khuruthang,58709.11,58.71
16,Gasa,60076.68,60.08
17,Dorokha,57405.8,57.41
18,Langdru (Khasadrapchu),58376.24,58.38
