"#",Station,RSP/KL,RSP/L
1,Phuentsholing,56678.45,56.68
2,Rinchending,56758.91,56.76
3,Pasakha,56812.55,56.81
4,Chimakothi,58020.78,58.02
5,Chubachu,58488.65,58.49
6,Paro Shaba,58475.73,58.48
7,Haa,59175.97,59.18
8,Wangdue Zero Point,58779.77,58.78
9,Beychu,59003.27,59
10,Samtse Checkpost,56239.01,56.24
11,Sipsoo,57818.8,57.82
12,Pagli,56296.72,56.3
13,Gedu,57609.54,57.61
14,Mitsina,58690.37,58.69
15,Khuruthang,58759.41,58.76
16,Gasa,59968.17,59.97
17,Dorokha,57450.69,57.45
18,Langdru (Khasadrapchu),58336.67,58.34
