"#",Station,RSP/KL,RSP/L
1,Phuentsholing,51733.38,51.73
2,Rinchending,51813.84,51.81
3,Pasakha,51867.48,51.87
4,Chimakothi,53032.38,53.03
5,Chubachu,53503.13,53.5
6,Paro Shaba,53486.63,53.49
7,Haa,54170.9,54.17
8,Wangdue Zero Point,53814.24,53.81
9,Beychu,54037.74,54.04
10,Samtse Checkpost,51811.92,51.81
11,Sipsoo,52868.89,52.87
12,Pagli,51765.36,51.77
13,Gedu,52620.35,52.62
14,Mitsina,53724.84,53.72
15,Khuruthang,53794.88,53.79
16,Gasa,54966.54,54.97
17,Dorokha,52484.89,52.48
18,Langdru (Khasadrapchu),53351.15,53.35
