"#",Station,RSP/KL,RSP/L
1,Ramtokto,46855.74,46.86
2,Rinchending,32163.45,29.96
3,Pasakha,32217.09,30.01
4,Chimakothi,33154.18,30.95
5,Chubachu,33640.08,31.44
6,Paro Shaba,33604.76,31.4
7,Haa,34205.06,32
8,Wangdue Zero Point,34056.25,31.85
9,Beychu,34279.75,32.08
10,Samtse Checkpost,31873.25,29.67
11,Sipsoo,33193.03,30.99
12,Pagli,31904.85,29.7
13,Gedu,32738.03,30.54
14,Mitsina,33966.85,31.76
15,Khuruthang,34042.17,31.84
16,Gasa,35018.83,32.82
17,Dorokha,32362.13,30.16
18,Langdru (Khasadrapchu),33124.7,30.92
19,null,0,0
