"#",Station,RSP/KL,RSP/L
1,Phuentsholing,54161.52,54.16
2,Rinchending,54241.98,54.24
3,Pasakha,54295.62,54.3
4,Chimakothi,55481.8,55.48
5,Chubachu,55951.14,55.95
6,Paro Shaba,55936.39,55.94
7,Haa,56628.5,56.63
8,Wangdue Zero Point,56252.43,56.25
9,Beychu,56475.93,56.48
10,Samtse Checkpost,54062.89,54.06
11,Sipsoo,55299.41,55.3
12,Pagli,54021.78,54.02
13,Gedu,55070.16,55.07
14,Mitsina,56163.03,56.16
15,Khuruthang,56232.58,56.23
16,Gasa,57422.45,57.42
17,Dorokha,54923.21,54.92
18,Langdru (Khasadrapchu),55799.16,55.8
