"#",Station,RSP/KL,RSP/L
1,Phuentsholing,55784.59,55.78
2,Rinchending,55865.05,55.87
3,Pasakha,55918.69,55.92
4,Chimakothi,57303.16,57.3
5,Chubachu,57759.32,57.76
6,Paro Shaba,57760.94,57.76
7,Haa,58526.14,58.53
8,Wangdue Zero Point,57969.15,57.97
9,Beychu,58192.65,58.19
10,Samtse Checkpost,55685.69,55.69
11,Sipsoo,56944.64,56.94
12,Pagli,55644.5,55.64
13,Gedu,56895.11,56.9
14,Mitsina,57879.75,57.88
15,Khuruthang,57944.71,57.94
16,Gasa,59304.32,59.3
17,Dorokha,56641.13,56.64
18,Langdru (Khasadrapchu),57607.34,57.61
