"#",Station,RSP/KL,RSP/L
1,Phuentsholing,55279.78,55.28
2,Rinchending,55360.24,55.36
3,Pasakha,55413.88,55.41
4,Chimakothi,56792.17,56.79
5,Chubachu,57248.74,57.25
6,Paro Shaba,57249.86,57.25
7,Haa,58012.78,58.01
8,Wangdue Zero Point,57461.42,57.46
9,Beychu,57684.92,57.68
10,Samtse Checkpost,55180.9,55.18
11,Sipsoo,56439.14,56.44
12,Pagli,55139.71,55.14
13,Gedu,56384.01,56.38
14,Mitsina,57372.02,57.37
15,Khuruthang,57437.12,57.44
16,Gasa,58791.44,58.79
17,Dorokha,56133.37,56.13
18,Langdru (Khasadrapchu),57096.76,57.1
