"#",Station,RSP/KL,RSP/L
1,Phuentsholing,57231.31,57.23
2,Rinchending,57311.77,57.31
3,Pasakha,57365.41,57.37
4,Chimakothi,58578.49,58.58
5,Chubachu,59046.04,59.05
6,Paro Shaba,59033.51,59.03
7,Haa,59735.54,59.74
8,Wangdue Zero Point,59334.92,59.33
9,Beychu,59558.42,59.56
10,Samtse Checkpost,57655.79,57.66
11,Sipsoo,58372.2,58.37
12,Pagli,57488.11,57.49
13,Gedu,58167.33,58.17
14,Mitsina,59245.52,59.25
15,Khuruthang,59314.45,59.31
16,Gasa,60527.35,60.53
17,Dorokha,58005.87,58.01
18,Langdru (Khasadrapchu),58894.06,58.89
