"#",Station,RSP/KL,RSP/L
1,Phuentsholing,36286.01,36.29
2,Rinchending,36366.47,36.37
3,Pasakha,36420.11,36.42
4,Chimakothi,37449.65,37.45
5,Chubachu,37929.4,37.93
6,Paro Shaba,37901.72,37.9
7,Haa,38536.1,38.54
8,Wangdue Zero Point,38302.93,38.3
9,Beychu,38526.43,38.53
10,Samtse Checkpost,36309.28,36.31
11,Sipsoo,37406.39,37.41
12,Pagli,36262.77,36.26
13,Gedu,37035.17,37.04
14,Mitsina,38213.53,38.21
15,Khuruthang,38286.71,38.29
16,Gasa,39342.51,39.34
17,Dorokha,36972.77,36.97
18,Langdru (Khasadrapchu),37777.42,37.78
