"#",Station,RSP/KL,RSP/L
1,Phuentsholing,60149.62,60.15
2,Rinchending,60230.08,60.23
3,Pasakha,60283.72,60.28
4,Chimakothi,61721.61,61.72
5,Chubachu,62174.21,62.17
6,Paro Shaba,62180.25,62.18
7,Haa,62965.14,62.97
8,Wangdue Zero Point,62359.41,62.36
9,Beychu,62582.91,62.58
10,Samtse Checkpost,60602.79,60.6
11,Sipsoo,61315.64,61.32
12,Pagli,60434.6,60.43
13,Gedu,61314.53,61.31
14,Mitsina,62270.01,62.27
15,Khuruthang,62333.73,62.33
16,Gasa,63739.07,63.74
17,Dorokha,61031.72,61.03
18,Langdru (Khasadrapchu),62022.23,62.02
