"#",Station,RSP/KL,RSP/L
1,Phuentsholing,55285.09,55.29
2,Rinchending,55365.55,55.37
3,Pasakha,55419.19,55.42
4,Chimakothi,56797.55,56.8
5,Chubachu,57254.11,57.25
6,Paro Shaba,57255.23,57.26
7,Haa,58018.18,58.02
8,Wangdue Zero Point,57466.76,57.47
9,Beychu,57690.26,57.69
10,Samtse Checkpost,55186.2,55.19
11,Sipsoo,56444.46,56.44
12,Pagli,55145.01,55.15
13,Gedu,56389.39,56.39
14,Mitsina,57377.36,57.38
15,Khuruthang,57442.46,57.44
16,Gasa,58796.84,58.8
17,Dorokha,56138.71,56.14
18,Langdru (Khasadrapchu),57102.13,57.1
