"#",Station,RSP/KL,RSP/L
1,Phuentsholing,59111.36,59.11
2,Rinchending,59191.82,59.19
3,Pasakha,59245.46,59.25
4,Chimakothi,60475.01,60.48
5,Chubachu,60941.47,60.94
6,Paro Shaba,60930.3,60.93
7,Haa,61638.4,61.64
8,Wangdue Zero Point,61222.75,61.22
9,Beychu,61446.25,61.45
10,Samtse Checkpost,58671.94,58.67
11,Sipsoo,60254.1,60.25
12,Pagli,58729.65,58.73
13,Gedu,60064.16,60.06
14,Mitsina,61133.35,61.13
15,Khuruthang,61201.9,61.2
16,Gasa,62428.9,62.43
17,Dorokha,59893.8,59.89
18,Langdru (Khasadrapchu),60789.49,60.79
