"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-06-16#StationRSP/KLRSP/L1Phuentsholing69805.4469.812Rinchending69876.5469.883Pasakha69939.5469.944Chimakothi71495.5971.55Lungtenzampa71783.3171.786Paro Town71956.1471.967Haa72784.5872.788Bajo Town72071.0472.079Beychu72294.5472.2910Samtse Town69351.0969.3511Sipsoo70984.6770.9812Gomtu69410.6969.4113Gedu71090.6671.0914Lobesa71962.1671.9615Khuruthang72042.6272.0416Gasa73549.1173.55",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,69805.44,69.81
2,Rinchending,69876.54,69.88
3,Pasakha,69939.54,69.94
4,Chimakothi,71495.59,71.5
5,Lungtenzampa,71783.31,71.78
6,Paro Town,71956.14,71.96
7,Haa,72784.58,72.78
8,Bajo Town,72071.04,72.07
9,Beychu,72294.54,72.29
10,Samtse Town,69351.09,69.35
11,Sipsoo,70984.67,70.98
12,Gomtu,69410.69,69.41
13,Gedu,71090.66,71.09
14,Lobesa,71962.16,71.96
15,Khuruthang,72042.62,72.04
16,Gasa,73549.11,73.55
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-06-16#StationRSP/KLRSP/L1Phuentsholing69805.4469.812Rinchending69876.5469.883Pasakha69939.5469.944Chimakothi71495.5971.55Lungtenzampa71783.3171.786Paro Town71956.1471.967Haa72784.5872.788Bajo Town72071.0472.079Beychu72294.5472.2910Samtse Town69351.0969.3511Sipsoo70984.6770.9812Gomtu69410.6969.4113Gedu71090.6671.0914Lobesa71962.1671.9615Khuruthang72042.6272.0416Gasa73549.1173.55",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,69805.44,69.81
2,Rinchending,69876.54,69.88
3,Pasakha,69939.54,69.94
4,Chimakothi,71495.59,71.5
5,Lungtenzampa,71783.31,71.78
6,Paro Town,71956.14,71.96
7,Haa,72784.58,72.78
8,Bajo Town,72071.04,72.07
9,Beychu,72294.54,72.29
10,Samtse Town,69351.09,69.35
11,Sipsoo,70984.67,70.98
12,Gomtu,69410.69,69.41
13,Gedu,71090.66,71.09
14,Lobesa,71962.16,71.96
15,Khuruthang,72042.62,72.04
16,Gasa,73549.11,73.55
