"#",Station,RSP/KL,RSP/L
1,Phuentsholing,61073.84,61.07
2,Rinchending,61154.3,61.15
3,Pasakha,61207.94,61.21
4,Chimakothi,62454.69,62.45
5,Chubachu,62920,62.92
6,Paro Shaba,62910.25,62.91
7,Haa,63624.69,63.62
8,Wangdue Zero Point,63193.35,63.19
9,Beychu,63416.85,63.42
10,Samtse Checkpost,60634.43,60.63
11,Sipsoo,62218.5,62.22
12,Pagli,60692.13,60.69
13,Gedu,62044.15,62.04
14,Mitsina,63103.95,63.1
15,Khuruthang,63172.1,63.17
16,Gasa,64413.82,64.41
17,Dorokha,61864.51,61.86
18,Langdru (Khasadrapchu),62768.02,62.77
