"#",Station,RSP/KL,RSP/L
1,Phuentsholing,54974.08,54.97
2,Rinchending,55054.54,55.05
3,Pasakha,55108.18,55.11
4,Chimakothi,56482.73,56.48
5,Chubachu,56939.55,56.94
6,Paro Shaba,56940.35,56.94
7,Haa,57701.9,57.7
8,Wangdue Zero Point,57153.96,57.15
9,Beychu,57377.46,57.38
10,Samtse Checkpost,54875.21,54.88
11,Sipsoo,56133.02,56.13
12,Pagli,54833.99,54.83
13,Gedu,56074.5,56.07
14,Mitsina,57064.56,57.06
15,Khuruthang,57129.74,57.13
16,Gasa,58480.86,58.48
17,Dorokha,55825.88,55.83
18,Langdru (Khasadrapchu),56787.57,56.79
