Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Lobesa,81552.49,81.55
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Phuentsholing,79321.29,79.32
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Rinchending,79401.75,79.4
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Pasakha,79455.39,79.46
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Chimakothi,81127.9,81.13
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Chubachu,81564.91,81.56
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Paro Shaba,81590.32,81.59
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Haa,82461.69,82.46
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Wangdue Zero Point,81641.89,81.64
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Beychu,81865.39,81.87
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Samtse Checkpost,78866.52,78.87
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Sipsoo,80513.54,80.51
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Pagli,78926.25,78.93
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Gedu,80725.07,80.73
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Mitsina,81552.49,81.55
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Khuruthang,81610.78,81.61
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Gasa,83216.95,83.22
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Dorokha,80315.62,80.32
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Langdru (Khasadrapchu),81412.93,81.41
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Chanzamtok,81564.91,81.56
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Gomtu Phuentshopelri,78926.25,78.93
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Motithang,81564.91,81.56
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Lungtenzampa,81564.91,81.56
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Olakha,81564.91,81.56
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Samtse Town,78866.52,78.87
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Langlitsawa,81865.39,81.87
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Gomtu,78926.25,78.93
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Phuentsholing Truck Parking,79321.29,79.32
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Phuentsholing Dungkhag Office,79321.29,79.32
Western Region,MS (in KL),Indian Oil Corporation Limited,2021-10-16,Phuentsholing Near MDP,79321.29,79.32
