Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Gelephu Forest Checkpost,68446.22,68.45
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Sarpang,68792.77,68.79
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Dagapela,70145.94,70.15
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Tsirang,69667.1,69.67
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Zhemgang,70366.02,70.37
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Trongsa,71334.34,71.33
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Bumthang,72198.01,72.2
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Dagana,70640.09,70.64
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Lhamoizingkha,69453.5,69.45
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Dangdung,71896.47,71.9
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Panbang,69998.75,70
Central Region,HSD (in KL),Indian Oil Corporation Limited,2021-07-01,Tingtibi,69631.29,69.63
