Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Phuentsholing,67029.42,67.03
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Rinchending,67100.52,67.1
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Pasakha,67163.52,67.16
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Chimakothi,68685.6,68.69
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Lungtenzampa,68975.57,68.98
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Paro Town,69145.6,69.15
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Haa,69961.52,69.96
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Bajo Town,69278.97,69.28
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Beychu,69502.47,69.5
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Samtse Town,66575.07,66.58
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Sipsoo,68204.86,68.2
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Gomtu,66634.68,66.63
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Gedu,68280.05,68.28
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Lobesa,69170.89,69.17
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Khuruthang,69251.35,69.25
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-04-16,Gasa,70728.75,70.73
