Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Phuentsholing,67242.94,67.24
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Rinchending,67323.4,67.32
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Pasakha,67377.04,67.38
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Chimakothi,68677.85,68.68
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Lungtenzampa,69139.57,69.14
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Paro Town,69134.28,69.13
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Haa,69868.65,69.87
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Bajo Town,69387.99,69.39
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Beychu,69611.49,69.61
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Samtse Town,66789.7,66.79
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Sipsoo,68393.64,68.39
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Gomtu,66849.17,66.85
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Gedu,68268.28,68.27
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Lobesa,69285.02,69.29
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Khuruthang,69365.48,69.37
Western Region,HSD (in KL),Bharat Petroleum Corporation Limited,2021-06-01,Gasa,70653.48,70.65
