Region,Product,Approved_Date,Station,RSP/KL,RSP/L
Central Region,MS (in KL),2022-04-01,Gelephu Town,92047.1,92.05
Central Region,MS (in KL),2022-04-01,Sarpang,92468.09,92.47
Central Region,MS (in KL),2022-04-01,Dagapela,94064.34,94.06
Central Region,MS (in KL),2022-04-01,Tsirang,93627.67,93.63
Central Region,MS (in KL),2022-04-01,Zhemgang,94113.78,94.11
Central Region,MS (in KL),2022-04-01,Trongsa,95061.28,95.06
Central Region,MS (in KL),2022-04-01,Bumthang,96146.7,96.15
Central Region,MS (in KL),2022-04-01,Dagana,94620.26,94.62
Central Region,MS (in KL),2022-04-01,Lhamoizingkha,92385.46,92.39
Central Region,MS (in KL),2022-04-01,Dangdung,93802.77,93.8
Central Region,MS (in KL),2022-04-01,Panbang,93495.38,93.5
Central Region,MS (in KL),2022-04-01,Tingtibi,93106.01,93.11
