Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Nganglam,68813.89,68.81
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Samdrup Jongkhar Gate,68924.95,68.92
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Nganglam Potonala,68813.89,68.81
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Wamrong,70319.07,70.32
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Trashigang,70621.21,70.62
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Trashiyangtse,71496.95,71.5
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Mongar,71669.93,71.67
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Gyelposing,71676.18,71.68
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Kanglung,70778.21,70.78
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Pemagatshel,70200.44,70.2
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Lhuntse,72206.82,72.21
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Jomotsangkha,68924.95,68.92
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Autsho,71857.13,71.86
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Doksum,70899.12,70.9
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Bhangtar,69532.87,69.53
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Rangjung,70892.9,70.89
Eastern Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Samdrup Jongkhar Upper Town,68924.95,68.92
