Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Lobesa,69329.41,69.33
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Phuentsholing,67273.64,67.27
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Rinchending,67354.1,67.35
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Pasakha,67407.74,67.41
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Chimakothi,68708.82,68.71
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Chubachu,69170.52,69.17
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Paro Shaba,69165.26,69.17
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Haa,69899.72,69.9
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Wangdue Zero Point,69418.81,69.42
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Beychu,69642.31,69.64
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Samtse Checkpost,66769.92,66.77
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Sipsoo,68424.37,68.42
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Pagli,66829.37,66.83
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Gedu,68299.26,68.3
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Mitsina,69329.41,69.33
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Khuruthang,69396.3,69.4
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Gasa,70684.53,70.68
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Dorokha,68090.29,68.09
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Langdru (Khasadrapchu),69018.54,69.02
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Chanzamtok,69170.52,69.17
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Gomtu Phuentshopelri,66829.37,66.83
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Motithang,69170.52,69.17
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Lungtenzampa,69170.52,69.17
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Olakha,69170.52,69.17
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Samtse Town,66769.92,66.77
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Langlitsawa,69642.31,69.64
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Gomtu,66829.37,66.83
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Phuentsholing Truck Parking,67273.64,67.27
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Phuentsholing Dungkhag Office,67273.64,67.27
Western Region,HSD (in KL),Indian Oil Corporation Limited,2022-01-01,Phuentsholing Near MDP,67273.64,67.27
