Region,Product,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),2022-04-01,Lobesa,100700.29,100.7
Western Region,HSD (in KL),2022-04-01,Phuentsholing,98515.22,98.52
Western Region,HSD (in KL),2022-04-01,Rinchending,98595.68,98.6
Western Region,HSD (in KL),2022-04-01,Pasakha,98649.32,98.65
Western Region,HSD (in KL),2022-04-01,Chimakothi,100224.16,100.22
Western Region,HSD (in KL),2022-04-01,Chubachu,100667.66,100.67
Western Region,HSD (in KL),2022-04-01,Paro Shaba,100685.01,100.69
Western Region,HSD (in KL),2022-04-01,Haa,101520.38,101.52
Western Region,HSD (in KL),2022-04-01,Wangdue Zero Point,100789.69,100.79
Western Region,HSD (in KL),2022-04-01,Beychu,101102.59,101.1
Western Region,HSD (in KL),2022-04-01,Samtse Checkpost,98019.35,98.02
Western Region,HSD (in KL),2022-04-01,Sipsoo,99719.87,99.72
Western Region,HSD (in KL),2022-04-01,Pagli,98077.69,98.08
Western Region,HSD (in KL),2022-04-01,Gedu,99819.56,99.82
Western Region,HSD (in KL),2022-04-01,Mitsina,100700.29,100.7
Western Region,HSD (in KL),2022-04-01,Khuruthang,100760.84,100.76
Western Region,HSD (in KL),2022-04-01,Gasa,102283.41,102.28
Western Region,HSD (in KL),2022-04-01,Dorokha,99391.31,99.39
Western Region,HSD (in KL),2022-04-01,Langdru (Khasadrapchu),100515.68,100.52
Western Region,HSD (in KL),2022-04-01,Chanzamtok,100667.66,100.67
Western Region,HSD (in KL),2022-04-01,Gomtu Phuentshopelri,98077.69,98.08
Western Region,HSD (in KL),2022-04-01,Motithang,100667.66,100.67
Western Region,HSD (in KL),2022-04-01,Lungtenzampa,100667.66,100.67
Western Region,HSD (in KL),2022-04-01,Olakha,100667.66,100.67
Western Region,HSD (in KL),2022-04-01,Samtse Town,98019.35,98.02
Western Region,HSD (in KL),2022-04-01,Langlitsawa,101057.89,101.06
Western Region,HSD (in KL),2022-04-01,Gomtu,98077.69,98.08
Western Region,HSD (in KL),2022-04-01,Phuentsholing Truck Parking,98515.22,98.52
Western Region,HSD (in KL),2022-04-01,Phuentsholing Dungkhag Office,98515.22,98.52
Western Region,HSD (in KL),2022-04-01,Phuentsholing Near MDP,98515.22,98.52
